Symbol,Name,MarketCap,Country,Sector,Industry
MICT,Micronet Enertec Technologies  Inc.,13665964.93,United States,Capital Goods,Electrical Products
PRZM,Prism Technologies Group  Inc.,13700215.68,United States,Miscellaneous,Business Services
RTK,Rentech  Inc.,13848636.76,United States,Basic Industries,Agricultural Chemicals
GBIM,GlobeImmune  Inc.,13918809.08,United States,Health Care,Major Pharmaceuticals
BASI,Bioanalytical Systems  Inc.,13940612.04,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
RGSE,Real Goods Solar  Inc.,14122627.9,United States,Basic Industries,Engineering & Construction
CAPN,Capnia  Inc.,14205943.26,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CTIB,CTI Industries Corporation,14359854.6,United States,Basic Industries,Specialty Chemicals
PPHMP,Peregrine Pharmaceuticals Inc.,14476000,United States,Health Care,Major Pharmaceuticals
QBAK,Qualstar Corporation,14581209.23,United States,Technology,Electronic Components
TORM          ,TOR Minerals International Inc,14685520.7928,United States,Basic Industries,Major Chemicals
KOSS,Koss Corporation,15282201.42,United States,Consumer Non-Durables,Consumer Electronics/Appliances
AKER,Akers Biosciences Inc,15691752.85,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ISH,International Shipholding Corporation,15693488.84,United States,Transportation,Marine Transportation
SPRO,SmartPros Ltd.,16023431.09,United States,Consumer Services,Other Consumer Services
ELMD,Electromed  Inc.,16058306.719,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SSY,SunLink Health Systems  Inc.,16242661.76,United States,Health Care,Hospital/Nursing Management
SYRX,Sysorex Global Holding Corp.,16256007.6728,United States,Technology,EDP Services
AMDA,Amedica Corporation,16649958.7692,United States,Health Care,Medical/Dental Instruments
WHLRP,Wheeler Real Estate Investment Trust  Inc.,16747920,United States,Consumer Services,Real Estate Investment Trusts
SMLR,Semler Scientific  Inc.,16844459.84,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MTR,Mesa Royalty Trust,16846853.6,United States,Energy,Oil & Gas Production
EOX,Emerald Oil  Inc.,16969662,United States,Energy,Oil & Gas Production
DARA,DARA Biosciences  Inc.,16989811.7,United States,Health Care,Major Pharmaceuticals
BRN,Barnwell Industries  Inc.,17051777.316,United States,Energy,Oil & Gas Production
HRT,Arrhythmia Research Technology Inc.,17053618.68,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
LTBR,Lightbridge Corporation,17178730.3,United States,Consumer Services,Professional Services
IDSA,Industrial Services of America  Inc.,17211445.92,United States,Basic Industries,Miscellaneous
TIK,Tel-Instrument Electronics Corp.,17261501.1,United States,Capital Goods,Electrical Products
NXTD,NXT-ID Inc.,17348689.4226,United States,Consumer Services,Diversified Commercial Services
CRDC,Cardica  Inc.,17358617.25,United States,Health Care,Medical/Dental Instruments
SVT,Servotronics  Inc.,17433194.35,United States,Capital Goods,Industrial Machinery/Components
VII,Vicon Industries  Inc.,17489114.3,United States,Consumer Durables,Telecommunications Equipment
HOTR,Chanticleer Holdings  Inc.,17654600.44,United States,Consumer Services,Restaurants
RTTR,Ritter Pharmaceuticals  Inc.,17922595.9,United States,Health Care,Major Pharmaceuticals
IHT,InnSuites Hospitality Trust,17991481.242,United States,Consumer Services,Real Estate Investment Trusts
RNO,Rhino Resource Partners LP,18002943.2106,United States,Energy,Coal Mining
MTBC,Medical Transcription Billing  Corp.,18080184.92,United States,Technology,Computer Software: Prepackaged Software
CYRX,CryoPort  Inc.,18249199.95,United States,Capital Goods,Containers/Packaging
PRKR,ParkerVision  Inc.,18281425.645,United States,Technology,Radio And Television Broadcasting And Communications Equipment
XPL,Solitario Exploration & Royalty Corp,18285498.3051,United States,Basic Industries,Precious Metals
LTRX,Lantronix  Inc.,18291803.81,United States,Technology,Computer Communications Equipment
CETX,Cemtrex Inc.,18316532.43,United States,Capital Goods,Industrial Machinery/Components
SWSH,Swisher Hygiene  Inc.,18510359.7,United States,Basic Industries,Package Goods/Cosmetics
ECTE,Echo Therapeutics  Inc.,18584219.25,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ISDR,Issuer Direct Corporation,18655307.68,United States,Miscellaneous,Publishing
MOC,Command Security Corporation,18786333.6444,United States,Consumer Services,Diversified Commercial Services
ISNS,Image Sensing Systems  Inc.,18801236.25,United States,Capital Goods,Industrial Machinery/Components
MDVX,Medovex Corp.,18943298.5,United States,Health Care,Medical/Dental Instruments
UNXL,Uni-Pixel  Inc.,19073534.025,United States,Capital Goods,Industrial Machinery/Components
UQM,UQM TECHNOLOGIES INC,19156022.7075,United States,Capital Goods,Industrial Machinery/Components
VGGL,Viggle Inc.,19186412.1,United States,Technology,Computer Software: Programming  Data Processing
ALXA,Alexza Pharmaceuticals  Inc.,19444729,United States,Health Care,Major Pharmaceuticals
ETRM,EnteroMedics Inc.,19472001.174,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
OCLS,Oculus Innovative Sciences  Inc.,19522741.35,United States,Health Care,Medical/Dental Instruments
FXENP,FX Energy  Inc.,19672000,United States,Energy,Oil & Gas Production
ATOS,Atossa Genetics Inc.,19748552.174,United States,Health Care,Medical/Dental Instruments
PGN,Paragon Offshore plc,19871258.5251,United States,Energy,Oil & Gas Production
STXS,Stereotaxis  Inc.,20013838.1,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
FSNN,Fusion Telecommunications International  Inc.,20249654.82,United States,Technology,Computer Software: Prepackaged Software
JAGX,Jaguar Animal Health  Inc.,20312307.5,United States,Health Care,Major Pharmaceuticals
ICCC,ImmuCell Corporation,20621479.5,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
JOEZ,Joe&#39;s Jeans Inc.,20990462.4,United States,Consumer Non-Durables,Apparel
CUO,Continental Materials Corporation,21026412.55,United States,Capital Goods,Building Materials
SAJA,Sajan  Inc.,21027126.4999,United States,Miscellaneous,Business Services
GROW,U.S. Global Investors  Inc.,21160529.46,United States,Finance,Investment Managers
CYCC,Cyclacel Pharmaceuticals  Inc.,21234710.629,United States,Health Care,Major Pharmaceuticals
RIBT,RiceBran Technologies,21433205.25,United States,Consumer Non-Durables,Packaged Foods
CRTN,Cartesian  Inc.,21577539,United States,Consumer Services,Professional Services
IKNX,Ikonics Corporation,21595307.1,United States,Miscellaneous,Industrial Machinery/Components
CSPI,CSP Inc.,21710910.99,United States,Technology,EDP Services
DAIO,Data I/O Corporation,21805465,United States,Capital Goods,Electrical Products
UAMY,United States Antimony Corporation,21851371.74,United States,Capital Goods,Metal Fabrications
OTEL,Otelco Inc.,21897708.56,United States,Public Utilities,Telecommunications Equipment
ANAD,ANADIGICS  Inc.,21929687.164,United States,Technology,Semiconductors
TOF,Tofutti Brands Inc.,21954787.56,United States,Consumer Non-Durables,Specialty Foods
CKX,CKX Lands  Inc.,22027893.3,United States,Energy,Oil & Gas Production
CFBK,Central Federal Corporation,22153194,United States,Finance,Savings Institutions
PRPH,ProPhase Labs  Inc.,22209855.36,United States,Health Care,Major Pharmaceuticals
OCC,Optical Cable Corporation,22287925.8,United States,Basic Industries,Telecommunications Equipment
OXGN,OXiGENE  Inc.,22300399.0534,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IFMI,Institutional Financial Markets  Inc.,22320458.761,United States,Finance,Investment Bankers/Brokers/Service
ENSV,ENSERVCO Corporation,22489394.3358,United States,Energy,Oilfield Services/Equipment
PDII,PDI  Inc.,22567175.1,United States,Miscellaneous,Business Services
ADAT,Authentidate Holding Corp.,22785214.14,United States,Technology,EDP Services
LGCYP,Legacy Reserves LP,22800000,United States,Energy,Oil & Gas Production
URRE,Uranium Resources  Inc.,22846674.3076,United States,Basic Industries,Precious Metals
BIOD,Biodel Inc.,22995944.74,United States,Health Care,Major Pharmaceuticals
AEY,ADDvantage Technologies Group  Inc.,23137958.937,United States,Consumer Services,Office Equipment/Supplies/Services
JCTCF,Jewett-Cameron Trading Company,23174037.6,United States,Consumer Services,RETAIL: Building Materials
SYPR,Sypris Solutions  Inc.,23283169.28,United States,Capital Goods,Industrial Machinery/Components
VGZ,Vista Gold Corporation,23318947.446,United States,Basic Industries,Precious Metals
EVOK,Evoke Pharma  Inc.,23326791.36,United States,Health Care,Major Pharmaceuticals
LEU,Centrus Energy Corp.,23400000,United States,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CAW,CCA Industries  Inc.,23472391.4,United States,Consumer Non-Durables,Package Goods/Cosmetics
ESNC,EnSync  Inc.,23564667,United States,Public Utilities,Electric Utilities: Central
OPGN,OpGen  Inc.,23821162.6,United States,Health Care,Medical Specialities
BPMX,BioPharmX Corporation,23952366.72,United States,Basic Industries,Engineering & Construction
OSGB,Overseas Shipholding Group  Inc.,24098609.5,United States,Transportation,Marine Transportation
NTN,NTN Buzztime  Inc.,24119598.555,United States,Consumer Services,Broadcasting
PSUN,Pacific Sunwear of California  Inc.,24282397.062,United States,Consumer Services,Clothing/Shoe/Accessory Stores
MARA,Marathon Patent Group  Inc.,24350475.3,United States,Miscellaneous,Multi-Sector Companies
KOOL,Cesca Therapeutics Inc.,24370038,United States,Capital Goods,Medical Specialities
FFNM,First Federal of Northern Michigan Bancorp  Inc.,24411941.7,United States,Finance,Major Banks
IFON,InfoSonics Corp,24457296.5,United States,Consumer Non-Durables,Electronic Components
WVFC,WVS Financial Corp.,24469548,United States,Finance,Banks
BDMS,Birner Dental Management Services  Inc.,24668320.56,United States,Health Care,Medical/Nursing Services
PULM,Pulmatrix  Inc.,24677217,United States,Health Care,Major Pharmaceuticals
STAF,Staffing 360 Solutions  Inc.,24722023.65,United States,Technology,Professional Services
CVR,Chicago Rivet & Machine Co.,24732979.2,United States,Technology,Industrial Machinery/Components
INS,Intelligent Systems Corporation,24884202.15,United States,Capital Goods,Metal Fabrications
RLOC,ReachLocal  Inc.,25020314.552,United States,Technology,Advertising
GVP,GSE Systems  Inc.,25043002.6,United States,Technology,Computer Software: Prepackaged Software
GLOW,Glowpoint  Inc.,25091173.8,United States,Public Utilities,Telecommunications Equipment
EYEG,Eyegate Pharmaceuticals  Inc.,25256757.9,United States,Health Care,Major Pharmaceuticals
SFY,Swift Energy Company,25328167.0254,United States,Energy,Oil & Gas Production
ADGE,American DG Energy Inc.,25344547,United States,Public Utilities,Power Generation
GOODP,Gladstone Commercial Corporation,25350000,United States,Consumer Services,Real Estate
DLHC,DLH Holdings Corp.,25404425.76,United States,Technology,Professional Services
LPTH,LightPath Technologies  Inc.,25450424.25,United States,Technology,Semiconductors
AIII,ACRE Realty Investors  Inc.,25486603.84,United States,Consumer Services,Real Estate Investment Trusts
CARV,Carver Bancorp  Inc.,25613882.91,United States,Finance,Savings Institutions
SIEB,Siebert Financial Corp.,25618746.16,United States,Finance,Investment Bankers/Brokers/Service
RESN,Resonant Inc.,25802208,United States,Technology,Semiconductors
JVA,Coffee Holding Co.  Inc.,25858119.04,United States,Consumer Non-Durables,Food Distributors
DAKP,Dakota Plains Holdings  Inc.,25895030.7,United States,Energy,Oil Refining/Marketing
GMO,General Moly  Inc,25900637.0304,United States,Basic Industries,Precious Metals
NRX,NephroGenex  Inc.,25986962.72,United States,Health Care,Major Pharmaceuticals
SGYPU,Synergy Pharmaceuticals  Inc.,26000002.6,United States,Health Care,Major Pharmaceuticals
CLDN,Celladon Corporation,26065456.67,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
OBCI,Ocean Bio-Chem  Inc.,26409469.28,United States,Consumer Durables,Specialty Chemicals
BANFP,BancFirst Corporation,26450000,United States,Finance,Major Banks
NLST,Netlist  Inc.,26687812.39,United States,Technology,Semiconductors
EVI,EnviroStarm  Inc.,26728181.6,United States,Consumer Services,Other Consumer Services
ALTV,Alteva (D/B/A),26763260.26,United States,Public Utilities,Telecommunications Equipment
VBFC,Village Bank and Trust Financial Corp.,27056977.55,United States,Finance,Major Banks
SGMA,SigmaTron International  Inc.,27081808,United States,Technology,Electrical Products
AEHR,Aehr Test Systems,27541509.36,United States,Capital Goods,Electrical Products
QCCO,QC Holdings  Inc.,27557789.1667,United States,Finance,Investment Bankers/Brokers/Service
ITUS,ITUS Corporation,27732392.04,United States,Miscellaneous,Multi-Sector Companies
MGCD,MGC Diagnostics Corporation,27846747.32,United States,Health Care,Medical/Dental Instruments
QUMU,Qumu Corporation,27948959.7516,United States,Technology,Computer Software: Prepackaged Software
SGRP,SPAR Group  Inc.,27960012.2921,United States,Miscellaneous,Business Services
AETI,American Electric Technologies  Inc.,27976188.57,United States,Energy,Industrial Machinery/Components
CZFC,Citizens First Corporation,27996008.94,United States,Finance,Major Banks
BLFS,BioLife Solutions  Inc.,28077721.98,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
GEVO,Gevo  Inc.,28213936.38,United States,Basic Industries,Major Chemicals
FLL,Full House Resorts  Inc.,28264400.04,United States,Consumer Services,Hotels/Resorts
LIVE,Live Ventures Incorporated,28394281.44,United States,Technology,EDP Services
EQFN,Equitable Financial Corp.,28408944.59,United States,Finance,Savings Institutions
SPP,Sanchez Production Partners LP,28629418.59,United States,Energy,Oil & Gas Production
GLRI,Glori Energy Inc,28659582,United States,Energy,Oil & Gas Production
MPO,Midstates Petroleum Company  Inc.,28727309.31,United States,Energy,Oil & Gas Production
ELON,Echelon Corporation,28880199.336,United States,Technology,Computer Communications Equipment
RXII,RXI Pharmaceuticals Corporation,28967307.966,United States,Health Care,Major Pharmaceuticals
IOT,Income Opportunity Realty Investors  Inc.,28969087.3,United States,Consumer Services,Real Estate Investment Trusts
DYSL,Dynasil Corporation of America,29104262.88,United States,Capital Goods,Industrial Machinery/Components
BVSN,BroadVision  Inc.,29197965.0953,United States,Technology,Computer Software: Prepackaged Software
GOODO,Gladstone Commercial Corporation,29210000,United States,Consumer Services,Real Estate
COSI,Cosi  Inc.,29360048.5274,United States,Consumer Services,Restaurants
SKY,Skyline Corporation,29453266.44,United States,Basic Industries,Homebuilding
ONVI,Onvia  Inc.,29545796.66,United States,Miscellaneous,Business Services
CTHR,Charles & Colvard Ltd,29556219,United States,Consumer Durables,Consumer Specialties
UWN,Nevada Gold & Casinos  Inc.,29603352.6,United States,Consumer Services,Services-Misc. Amusement & Recreation
LOAN,Manhattan Bridge Capital  Inc,30009956.2011,United States,Consumer Services,Real Estate Investment Trusts
BWEN,Broadwind Energy  Inc.,30066387,United States,Capital Goods,Metal Fabrications
VSR,Versar  Inc.,30133796.83,United States,Consumer Services,Military/Government/Technical
CDTI,Clean Diesel Technologies  Inc.,30155720.4,United States,Capital Goods,Pollution Control Equipment
DGLY,Digital Ally  Inc.,30588793.95,United States,Technology,Radio And Television Broadcasting And Communications Equipment
ROKA,Roka Bioscience  Inc.,30675065.2,United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments
FNJN,Finjan Holdings  Inc.,30690608.64,United States,Miscellaneous,Multi-Sector Companies
CPSH,CPS Technologies Corp.,30746309.53,United States,Capital Goods,Building Materials
SMTP,SMTP  Inc.,31102545.6,United States,Technology,Advertising
LUNA,Luna Innovations Incorporated,31141182.97,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
WTT,Wireless Telecom Group   Inc.,31206063.45,United States,Capital Goods,Electrical Products
RMGN,RMG Networks Holding Corporation,31349734.85,United States,Miscellaneous,Business Services
ARCW,ARC Group Worldwide  Inc.,31398340.05,United States,Capital Goods,Metal Fabrications
CRDS,Crossroads Systems  Inc.,31451911.84,United States,Technology,Computer peripheral equipment
SOFO,Sonic Foundry  Inc.,31488747.84,United States,Technology,Radio And Television Broadcasting And Communications Equipment
ONTX,Onconova Therapeutics  Inc.,31491607.5,United States,Health Care,Major Pharmaceuticals
ECT,ECA Marcellus Trust I,31512950,United States,Energy,Oil & Gas Production
LIME,Lime Energy Co.,31551167.8372,United States,Basic Industries,Engineering & Construction
LINC,Lincoln Educational Services Corporation,31623390.48,United States,Consumer Services,Other Consumer Services
HOVNP,Hovnanian Enterprises Inc,32000000,United States,Capital Goods,Homebuilding
YUMA,Yuma Energy  Inc.,32203820.4048,United States,Energy,Oil & Gas Production
ATEC,Alphatec Holdings  Inc.,32352425.28,United States,Health Care,Medical/Dental Instruments
NHLD,National Holdings Corporation,32360549,United States,Finance,Investment Bankers/Brokers/Service
CASM,CAS Medical Systems  Inc.,32370308.41,United States,Health Care,Medical/Dental Instruments
PPSI,Pioneer Power Solutions  Inc.,32438113.56,United States,Consumer Durables,Electrical Products
FWV,First West Virginia Bancorp  Inc.,32612491.45,United States,Finance,Major Banks
PYDS,Payment Data Systems  Inc.,32638387.2903,United States,Finance,Investment Bankers/Brokers/Service
VRNG,Vringo  Inc.,32824470.4947,United States,Miscellaneous,Multi-Sector Companies
CYAN,Cyanotech Corporation,32836444.1,United States,Consumer Durables,Specialty Chemicals
ENZN,Enzon Pharmaceuticals  Inc.,32920316.6714,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DXR,Daxor Corporation,32927877.5529,United States,Health Care,Medical/Dental Instruments
ISIG,Insignia Systems  Inc.,33053064.52,United States,Consumer Services,Advertising
MCZ,Mad Catz Interactive Inc,33061306.95,United States,Consumer Non-Durables,Recreational Products/Toys
ENG,ENGlobal Corporation,33142565.997,United States,Consumer Services,Military/Government/Technical
RBCN,Rubicon Technology  Inc.,33278489.45,United States,Technology,Semiconductors
QTWW,Quantum Fuel Systems Technologies Worldwide  Inc.,33627362.4,United States,Capital Goods,Auto Parts:O.E.M.
MSN,Emerson Radio Corporation,33640991.68,United States,Consumer Non-Durables,Consumer Electronics/Appliances
ASUR,Asure Software Inc,33712502.56,United States,Technology,EDP Services
ERS,Empire Resources  Inc.,33861640.032,United States,Basic Industries,Metal Fabrications
SEV,Sevcon  Inc.,33985922.4,United States,Energy,Industrial Machinery/Components
APHB,AmpliPhi Biosciences Corporation,34064832.67,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
WAYN,Wayne Savings Bancshares Inc.,34077527.75,United States,Finance,Savings Institutions
DDE,Dover Downs Gaming & Entertainment Inc,34176136.8,United States,Consumer Services,Services-Misc. Amusement & Recreation
SUMR,Summer Infant  Inc.,34220979.5912,United States,Consumer Durables,Miscellaneous manufacturing industries
HEB,Hemispherx BioPharma  Inc.,34564157.6,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GTWN,Georgetown Bancorp  Inc.,34566042.84,United States,Finance,Major Banks
NSEC,National Security Group  Inc.,34671465,United States,Finance,Life Insurance
GLBZ,Glen Burnie Bancorp,34916792.4,United States,Finance,Major Banks
MHH,Mastech Holdings  Inc,35106404.4,United States,Consumer Services,Professional Services
ACI,Arch Coal  Inc.,35301943.46,United States,Energy,Coal Mining
STRM,Streamline Health Solutions  Inc.,35481990.6,United States,Technology,EDP Services
GNVC,GenVec  Inc.,35748821.34,United States,Health Care,Major Pharmaceuticals
ACPW,Active Power  Inc.,35817723.95,United States,Public Utilities,Electric Utilities: Central
BIOL,Biolase  Inc.,36084035.0871,United States,Health Care,Medical/Dental Instruments
SAEX,SAExploration Holdings  Inc.,36739187.614,United States,Energy,Oil & Gas Production
IMNP          ,Immune Pharmaceuticals Inc.,36816732.72,United States,Health Care,Major Pharmaceuticals
AXR,AMREP Corporation,36911493.3746,United States,Consumer Services,Newspapers/Magazines
INVE,Identiv  Inc.,36993890.72,United States,Technology,Computer peripheral equipment
IMUC,ImmunoCellular Therapeutics  Ltd.,37004477.43,United States,Health Care,Major Pharmaceuticals
PFIN,P & F Industries  Inc.,37052417.5,United States,Technology,Industrial Machinery/Components
EMMS,Emmis Communications Corporation,37109353.38,United States,Consumer Services,Broadcasting
WRES,Warren Resources  Inc.,37353594.36,United States,Energy,Oil & Gas Production
SGB,Southwest Georgia Financial Corporation,37364029.605,United States,Finance,Major Banks
CBAY,Cymabay Therapeutics Inc.,37515204.8,United States,Health Care,Major Pharmaceuticals
HTBX,Heat Biologics  Inc.,37616989.98,United States,Health Care,Major Pharmaceuticals
FMD,First Marblehead Corporation (The),37805492.88,United States,Finance,Finance: Consumer Services
EAC           ,Erickson Incorporated,37902896.76,United States,Capital Goods,Aerospace
BOTJ,Bank of the James Financial Group  Inc.,37930680,United States,Finance,Major Banks
ZSAN,Zosano Pharma Corporation,38049978.36,United States,Health Care,Major Pharmaceuticals
SSFN,Stewardship Financial Corp,38066737.5,United States,Finance,Major Banks
OMEX,Odyssey Marine Exploration  Inc.,38155684.425,United States,Consumer Services,Marine Transportation
SMSI,Smith Micro Software  Inc.,38258059.84,United States,Technology,Computer Software: Prepackaged Software
CTRV,ContraVir Pharmaceuticals Inc,38347508.36,United States,Health Care,Major Pharmaceuticals
IEC,IEC Electronics Corp.,38408902.3292,United States,Technology,Electrical Products
RLOG,Rand Logistics  Inc.,38437347.39,United States,Consumer Services,Marine Transportation
CGIX,Cancer Genetics  Inc.,38514125.6,United States,Health Care,Medical Specialities
GDP,Goodrich Petroleum Corporation,38543873.535,United States,Energy,Oil & Gas Production
RFIL,RF Industries  Ltd.,38830394.43,United States,Capital Goods,Electrical Products
HNR,Harvest Natural Resources Inc,38900285.97,United States,Energy,Oil & Gas Production
CIDM,Cinedigm Corp,38972343.28,United States,Consumer Services,Consumer Electronics/Video Chains
SBSA,Spanish Broadcasting System  Inc.,39044064,United States,Consumer Services,Broadcasting
BYFC,Broadway Financial Corporation,39253555.8,United States,Finance,Savings Institutions
WMLP,Westmoreland Resource Partners  LP,39438805.15,United States,Energy,Coal Mining
WHLM,Wilhelmina International  Inc.,39443857.3879,United States,Consumer Services,Professional Services
VICL,Vical Incorporated,39447071.137,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
REN           ,Resolute Energy Corporation,39531095.01,United States,Energy,Oil & Gas Production
WVVI,Willamette Valley Vineyards  Inc.,39801763.5305,United States,Consumer Non-Durables,Beverages (Production/Distribution)
JTPY,JetPay Corporation,39872881.3,United States,Finance,Business Services
SSH,Sunshine Heart Inc,39966273.54,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MELR,Melrose Bancorp  Inc.,40095134.43,United States,Finance,Major Banks
PBIB,Porter Bancorp  Inc.,40184378.52,United States,Finance,Major Banks
CBIO,Catalyst Biosciences  Inc. ,40301953.52,United States,Health Care,Major Pharmaceuticals
ASTC,Astrotech Corporation,40366312.35,United States,Capital Goods,Military/Government/Technical
MFRI,MFRI  Inc.,40535980.64,United States,Capital Goods,Pollution Control Equipment
ZHNE,Zhone Technologies  Inc.,40660480.4,United States,Public Utilities,Telecommunications Equipment
FRD,Friedman Industries Inc.,40796664,United States,Capital Goods,Steel/Iron Ore
CASI,CASI Pharmaceuticals  Inc.,40881721.86,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NES,Nuverra Environmental Solutions  Inc.,41015339.08,United States,Energy,Oilfield Services/Equipment
HTGM,HTG Molecular Diagnostics  Inc.,41101032.28,United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments
NAII,Natural Alternatives International  Inc.,41625080.8169,United States,Consumer Durables,Specialty Chemicals
CPHC,Canterbury Park Holding Corporation,41722064.28,United States,Consumer Services,Services-Misc. Amusement & Recreation
CBLI,Cleveland BioLabs  Inc.,41736288.47,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INTT,inTest Corporation,41828204.88,United States,Capital Goods,Electrical Products
BIOC,Biocept  Inc.,42082978.5,United States,Health Care,Medical Specialities
GWGH,GWG Holdings  Inc,42302582.33,United States,Finance,Life Insurance
SYNC,Synacor  Inc.,42366675.12,United States,Technology,Computer Software: Programming  Data Processing
ICLD,InterCloud Systems  Inc,42395644.5,United States,Miscellaneous,Business Services
CGNT,Cogentix Medical  Inc.,42422747.22,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
TFSCU,1347 Capital Corp.,42427000,United States,Finance,Business Services
TLOG,TetraLogic Pharmaceuticals Corporation,42466917.22,United States,Health Care,Major Pharmaceuticals
ARTX,Arotech Corporation,42479416.2,United States,Miscellaneous,Industrial Machinery/Components
PLBC,Plumas Bancorp,42799851.864,United States,Finance,Finance Companies
CLSN,Celsion Corporation,42832057.68,United States,Health Care,Major Pharmaceuticals
STLY,Stanley Furniture Company  Inc.,42944984.64,United States,Consumer Durables,Home Furnishings
